,Stock,Price,Change,Percent,Market,Supply,Volume
0,Bitcoin USD,"30,741.99",636.06,2.11%,594.726B,19.346M,20.192B
1,Ethereum USD,"2,114.26",197.69,10.32%,254.68B,120.458M,16.041B
2,Tether USD,1.0009,0,0.00%,80.838B,80.765B,37.383B
3,BNB USD,333.4,13.17,4.11%,52.635B,157.871M,820.48M
4,USD Coin USD,0.999741,-0.000252,-0.03%,31.939B,31.947B,5.35B
5,XRP USD,0.523294,0.017444,3.45%,27.081B,51.751B,1.07B
6,Cardano USD,0.441454,0.033542,8.22%,15.35B,34.772B,673.107M
7,HEX USD,0.077672,0.004555,6.23%,13.469B,173.411B,7.444M
8,Dogecoin USD,0.090414,0.006922,8.29%,12.561B,138.93B,1.011B
9,Lido Staked ETH USD,"2,107.67",210.93,11.12%,12.543B,5.951M,97.344M
10,Polygon USD,1.1824,0.0737,6.64%,10.902B,9.219B,445.53M
11,Solana USD,25.13,1.13,4.72%,9.844B,391.639M,926.983M
12,Polkadot USD,6.8386,0.416,6.48%,8.042B,1.176B,251.66M
13,Litecoin USD,98.56,6.02,6.50%,7.165B,72.701M,730.095M
14,Binance USD USD,1.0006,0.0002,0.02%,6.8B,6.795B,3.838B
15,Wrapped TRON USD,0.066711,0.001687,2.59%,6.783B,101.676B,1.186M
16,Shiba Inu USD,0.000011,0,3.87%,6.703B,589.539T,229.608M
17,Avalanche USD,19.25,0.71,3.85%,6.279B,326.191M,256.614M
18,TRON USD,0.06655,0.001485,2.28%,6.045B,90.837B,274.561M
19,Dai USD,1.0001,0,0.00%,5.205B,5.204B,198.695M
20,Wrapped Bitcoin USD,"30,875.45",762.17,2.53%,4.648B,"150,550",325.842M
21,Chainlink USD,7.7388,0.4982,6.88%,4.002B,517.1M,295.503M
22,Uniswap USD,6.4123,0.4693,7.90%,3.703B,577.487M,119.974M
23,Cosmos USD,12.06,0.72,6.34%,3.454B,286.37M,181.658M
24,UNUS SED LEO USD,3.3886,-0.0341,-1.00%,3.233B,953.954M,"523,481"
25,Bitcoin USD,"30,741.99",636.06,2.11%,594.726B,19.346M,20.192B
26,Ethereum USD,"2,114.26",197.69,10.32%,254.68B,120.458M,16.041B
27,Tether USD,1.0009,0,0.00%,80.838B,80.765B,37.383B
28,BNB USD,333.4,13.17,4.11%,52.635B,157.871M,820.48M
29,USD Coin USD,0.999741,-0.000252,-0.03%,31.939B,31.947B,5.35B
30,XRP USD,0.523294,0.017444,3.45%,27.081B,51.751B,1.07B
31,Cardano USD,0.441454,0.033542,8.22%,15.35B,34.772B,673.107M
32,HEX USD,0.077672,0.004555,6.23%,13.469B,173.411B,7.444M
33,Dogecoin USD,0.090414,0.006922,8.29%,12.561B,138.93B,1.011B
34,Lido Staked ETH USD,"2,107.67",210.93,11.12%,12.543B,5.951M,97.344M
35,Polygon USD,1.1824,0.0737,6.64%,10.902B,9.219B,445.53M
36,Solana USD,25.13,1.13,4.72%,9.844B,391.639M,926.983M
37,Polkadot USD,6.8386,0.416,6.48%,8.042B,1.176B,251.66M
38,Litecoin USD,98.56,6.02,6.50%,7.165B,72.701M,730.095M
39,Binance USD USD,1.0006,0.0002,0.02%,6.8B,6.795B,3.838B
40,Wrapped TRON USD,0.066711,0.001687,2.59%,6.783B,101.676B,1.186M
41,Shiba Inu USD,0.000011,0,3.87%,6.703B,589.539T,229.608M
42,Avalanche USD,19.25,0.71,3.85%,6.279B,326.191M,256.614M
43,TRON USD,0.06655,0.001485,2.28%,6.045B,90.837B,274.561M
44,Dai USD,1.0001,0,0.00%,5.205B,5.204B,198.695M
45,Wrapped Bitcoin USD,"30,875.45",762.17,2.53%,4.648B,"150,550",325.842M
46,Chainlink USD,7.7388,0.4982,6.88%,4.002B,517.1M,295.503M
47,Uniswap USD,6.4123,0.4693,7.90%,3.703B,577.487M,119.974M
48,Cosmos USD,12.06,0.72,6.34%,3.454B,286.37M,181.658M
49,UNUS SED LEO USD,3.3886,-0.0341,-1.00%,3.233B,953.954M,"523,481"
50,Bitcoin USD,"30,741.99",636.06,2.11%,594.726B,19.346M,20.192B
51,Ethereum USD,"2,114.26",197.69,10.32%,254.68B,120.458M,16.041B
